Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
M de Lange,2012-2015,3,-,-,-,-,-,-,-,-,-,-,-,-
M Shezi,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
KC Sangakkara,2010-2015,128,121,13,5724,169,53,6746,84.85,15,35,6,538,51
TM Dilshan,2010-2015,131,128,12,5147,161,44.37,6086,84.57,14,25,6,587,22
DPMD Jayawardene,2010-2015,122,111,7,3647,144,35.06,4346,83.91,7,22,4,352,22
AD Mathews,2010-2015,132,112,33,3352,139,42.43,3878,86.43,1,22,8,268,58
HDRL Thirimanne,2012-2015,96,78,10,2339,139,34.39,3256,71.83,4,14,5,187,19
WU Tharanga,2010-2015,74,70,6,2161,174,33.76,2914,74.15,5,11,4,242,12
LD Chandimal,2011-2015,96,86,14,2155,105,29.93,2856,75.45,1,14,9,159,23
MDKJ Perera,2013-2015,48,46,3,1096,116,25.48,1211,90.5,2,5,8,118,30
NLTC Perera,2010-2015,96,73,11,1033,80,16.66,971,106.38,0,5,7,77,38
KMDN Kulasekara,2010-2015,89,63,12,706,73,13.84,788,89.59,0,2,9,52,22
BMAJ Mendis,2010-2015,50,38,9,562,72,19.37,667,84.25,0,1,1,41,11
SMA Priyanjan,2013-2015,23,20,2,420,74,23.33,522,80.45,0,2,0,47,3
SL Malinga,2010-2015,116,61,17,323,56,7.34,363,88.98,0,1,16,28,15
SMSM Senanayake,2012-2015,46,31,11,283,42,14.15,294,96.25,0,0,5,30,6
S Prasanna,2011-2015,25,22,2,193,42,9.65,235,82.12,0,0,5,15,10
FDM Karunaratne,2011-2015,17,13,1,190,60,15.83,276,68.84,0,1,2,14,0
LPC Silva,2010-2011,14,10,0,187,63,18.7,286,65.38,0,2,1,19,1
HMRKB Herath,2011-2015,62,28,14,138,17,9.85,213,64.78,0,0,3,10,2
TAM Siriwardana,2015-2015,5,5,1,121,52,30.25,89,135.95,0,1,0,11,5
S Randiv,2010-2014,12,8,0,115,41,14.37,155,74.19,0,0,1,14,1
TT Samaraweera,2011-2011,12,8,4,114,34,28.5,156,73.07,0,0,0,10,0
KTGD Prasad,2011-2015,19,9,6,112,31,37.33,96,116.66,0,0,1,9,3
CK Kapugedera,2011-2012,10,7,0,98,62,14,143,68.53,0,1,1,5,0
PC de Silva,2014-2014,6,6,1,80,44,16,98,81.63,0,0,0,8,0
KDK Vithanage,2013-2014,6,6,1,75,27,15,90,83.33,0,0,0,11,0
BAW Mendis,2011-2014,39,19,9,72,19,7.2,97,74.22,0,0,6,9,1
SS Pathirana,2015-2015,3,3,0,66,33,22,72,91.66,0,0,0,5,2
MF Maharoof,2012-2012,10,7,2,58,18,11.6,79,73.41,0,0,0,2,1
SHT Kandamby,2011-2014,6,5,0,56,20,11.2,108,51.85,0,0,1,4,0
CKB Kulasekara,2011-2012,4,3,0,38,19,12.66,72,52.77,0,0,1,0,0
RMS Eranga,2011-2015,17,10,7,34,12,11.33,63,53.96,0,0,1,4,0
RAS Lakmal,2011-2015,32,15,9,20,7,3.33,62,32.25,0,0,4,0,0
PVD Chameera,2015-2015,3,2,2,14,12,-,14,100,0,0,0,1,0
M Muralitharan,2010-2011,13,3,2,11,7,11,6,183.33,0,0,0,1,1
J Mubarak,2013-2013,2,1,0,8,8,8,15,53.33,0,0,0,1,0
LHD Dilhara,2013-2013,1,1,0,6,6,6,22,27.27,0,0,0,0,0
N Dickwella,2014-2014,1,1,0,4,4,4,10,40,0,0,0,0,0
N Pradeep,2012-2015,5,3,3,3,3,-,5,60,0,0,0,0,0
CRD Fernando,2010-2012,8,5,3,2,2,1,10,20,0,0,2,0,0
ST Jayasuriya,2011-2011,1,1,0,2,2,2,4,50,0,0,0,0,0
AK Perera,2013-2014,3,1,0,1,1,1,5,20,0,0,0,0,0
PLS Gamage,2014-2015,5,2,2,0,0,-,12,0,0,0,0,0,0
PHT Kaushal,2015-2015,1,1,0,0,0,0,1,0,0,0,1,0,0
A Dananjaya,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
MDK Perera,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
I Udana,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
S Weerakoon,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
MN Samuels,2011-2015,67,65,9,2118,133,37.82,2897,73.11,6,7,4,190,54
DM Bravo,2011-2015,71,70,8,2001,124,32.27,2888,69.28,2,15,7,173,40
LMP Simmons,2011-2015,49,47,1,1650,122,35.86,2130,77.46,2,14,4,131,48
KA Pollard,2011-2014,61,58,4,1504,119,27.85,1609,93.47,3,6,9,100,75
DJG Sammy,2011-2015,83,73,19,1363,89,25.24,1339,101.79,0,7,2,110,65
CH Gayle,2011-2015,49,49,2,1336,215,28.42,1422,93.95,3,5,3,119,73
DJ Bravo,2011-2014,57,54,8,1253,106,27.23,1518,82.54,1,5,4,102,30
D Ramdin,2011-2015,46,36,5,1012,169,32.64,1174,86.2,2,5,2,75,22
AD Russell,2011-2015,50,42,9,944,92,28.6,729,129.49,0,4,5,87,50
J Charles,2012-2015,32,32,0,927,130,28.96,1126,82.32,2,3,5,104,24
KOA Powell,2011-2014,26,26,0,767,83,29.5,937,81.85,0,7,1,91,11
RR Sarwan,2011-2013,25,23,3,706,120,35.3,1087,64.94,1,5,2,54,7
DR Smith,2012-2015,28,28,1,635,97,23.51,732,86.74,0,5,7,71,19
DS Smith,2011-2013,15,15,0,378,107,25.2,528,71.59,1,2,3,41,4
KA Edwards,2011-2014,16,16,2,331,123,23.64,494,67,1,0,3,23,7
JO Holder,2013-2015,33,21,7,317,57,22.64,338,93.78,0,2,4,28,11
SP Narine,2011-2014,52,35,9,282,36,10.84,355,79.43,0,0,6,25,10
AB Barath,2011-2012,9,9,1,263,113,32.87,384,68.48,1,0,2,30,2
CS Baugh,2011-2012,17,13,4,259,49,28.77,394,65.73,0,0,1,18,1
DC Thomas,2011-2013,19,18,1,209,37,12.29,332,62.95,0,0,3,17,2
KAJ Roach,2011-2015,54,34,22,196,34,16.33,381,51.44,0,0,5,16,3
R Rampaul,2011-2014,40,19,7,194,86,16.16,249,77.91,0,1,1,19,8
JL Carter,2015-2015,10,9,1,193,50,24.12,276,69.92,0,1,1,20,3
N Deonarine,2013-2015,11,10,0,172,43,17.2,255,67.45,0,0,0,15,2
S Chanderpaul,2011-2011,7,6,2,130,44,32.5,248,52.41,0,0,0,4,2
DP Hyatt,2011-2011,9,9,1,112,39,14,188,59.57,0,0,1,8,6
SJ Benn,2011-2015,16,12,5,51,18,7.28,78,65.38,0,0,0,6,1
JE Taylor,2014-2015,13,7,1,50,15,8.33,70,71.42,0,0,2,7,0
NO Miller,2011-2015,13,6,3,41,13,13.66,61,67.21,0,0,1,3,0
CR Brathwaite,2011-2015,4,4,0,27,11,6.75,53,50.94,0,0,0,1,1
TL Best,2012-2014,14,8,5,24,7,8,52,46.15,0,0,1,2,0
LR Johnson,2015-2015,3,3,0,19,18,6.33,61,31.14,0,0,1,2,1
CAK Walton,2014-2014,3,2,0,17,17,8.5,27,62.96,0,0,1,1,0
V Permaul,2012-2013,6,3,1,11,10,5.5,21,52.38,0,0,0,1,0
D Bishoo,2011-2011,13,7,2,10,6,2,26,38.46,0,0,4,2,0
A Martin,2011-2011,9,6,5,10,4,10,29,34.48,0,0,0,0,0
SS Cottrell,2015-2015,2,2,2,3,2,-,9,33.33,0,0,0,0,0
JN Mohammed,2011-2011,1,1,0,2,2,2,21,9.52,0,0,0,0,0
ML Cummins,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
BRM Taylor,2010-2015,60,60,4,2091,138,37.33,2486,84.11,5,12,8,198,31
H Masakadza,2010-2015,62,61,0,1744,93,28.59,2451,71.15,0,13,4,169,31
E Chigumbura,2010-2015,71,65,12,1536,117,28.98,1927,79.7,2,6,5,125,27
SC Williams,2011-2015,45,44,6,1388,96,36.52,1552,89.43,0,12,2,115,19
Sikandar Raza,2013-2015,45,42,5,1240,141,33.51,1452,85.39,3,3,1,118,27
CR Ervine,2010-2015,31,30,5,1104,130,44.16,1351,81.71,2,6,2,95,21
V Sibanda,2011-2015,39,39,2,1102,103,29.78,1541,71.51,1,8,3,119,18
CJ Chibhabha,2010-2015,32,32,2,990,99,33,1365,72.52,0,7,0,110,5
T Taibu,2010-2012,25,25,1,711,98,29.62,1004,70.81,0,7,1,56,7
MN Waller,2011-2015,34,31,2,643,99,22.17,872,73.73,0,3,2,64,5
P Utseya,2010-2015,48,41,16,578,67,23.12,923,62.62,0,2,5,36,7
R Mutumbami,2014-2015,20,19,2,435,74,25.58,566,76.85,0,3,2,44,8
RW Chakabva,2010-2015,31,28,1,395,45,14.62,730,54.1,0,0,2,27,1
AG Cremer,2010-2015,19,14,2,202,37,16.83,327,61.77,0,0,1,16,0
SF Mire,2014-2015,10,10,0,198,52,19.8,304,65.13,0,2,0,13,6
F Mutizwa,2011-2011,8,7,1,140,69,23.33,230,60.86,0,1,1,8,1
T Panyangara,2011-2015,36,24,7,125,33,7.35,228,54.82,0,0,5,14,1
SW Masakadza,2010-2014,12,9,1,123,38,15.37,127,96.85,0,0,1,11,7
RW Price,2010-2012,23,15,6,110,26,12.22,157,70.06,0,0,2,12,1
LM Jongwe,2014-2015,12,9,2,106,46,15.14,130,81.53,0,0,1,12,1
CT Mutombodzi,2013-2015,9,8,1,102,27,14.57,131,77.86,0,0,0,6,3
TL Chatara,2013-2015,27,18,10,99,23,12.37,166,59.63,0,0,2,9,2
T Maruma,2013-2014,8,8,0,87,29,10.87,163,53.37,0,0,0,4,3
BB Chari,2015-2015,4,4,0,76,39,19,164,46.34,0,0,0,4,0
GA Lamb,2011-2011,6,6,2,63,18,15.75,87,72.41,0,0,1,4,1
BV Vitori,2011-2015,19,10,3,63,20,9,69,91.3,0,0,3,5,4
KM Dabengwa,2010-2010,4,4,0,53,30,13.25,108,49.07,0,0,0,3,0
N Madziva,2014-2015,8,8,1,49,25,7,96,51.04,0,0,1,5,0
J Nyumbu,2014-2015,19,14,4,46,18,4.6,89,51.68,0,0,3,1,1
N M'shangwe,2011-2014,6,6,1,38,16,7.6,45,84.44,0,0,1,0,5
TMK Mawoyo,2012-2014,5,5,0,34,15,6.8,104,32.69,0,0,1,3,0
KM Jarvis,2011-2013,15,10,3,33,12,4.71,78,42.3,0,0,0,2,0
KO Meth,2010-2012,6,5,0,33,20,6.6,52,63.46,0,0,2,4,0
CK Coventry,2011-2015,5,4,0,28,14,7,44,63.63,0,0,1,1,2
S Matsikenyeri,2012-2015,4,4,0,28,19,7,53,52.83,0,0,0,2,0
T Kamungozi,2014-2015,10,8,4,27,12,6.75,42,64.28,0,0,1,5,0
DT Tiripano,2014-2015,7,5,2,24,13,8,42,57.14,0,0,0,3,0
T Mupariwa,2015-2015,4,3,1,19,18,9.5,11,172.72,0,0,1,2,1
PJ Moor,2014-2014,2,2,0,15,13,7.5,36,41.66,0,0,0,1,0
TS Chisoro,2015-2015,3,1,0,12,12,12,19,63.15,0,0,0,1,1
WP Masakadza,2015-2015,6,3,0,11,10,3.66,29,37.93,0,0,1,0,0
CB Mpofu,2010-2015,23,10,6,11,3,2.75,43,25.58,0,0,1,0,0
MT Chinouya,2013-2013,2,2,1,6,6,6,8,75,0,0,1,1,0
T Muzarabani,2015-2015,1,1,0,3,3,3,13,23.07,0,0,0,0,0
N Ncube,2011-2011,1,1,1,0,0,-,0,-,0,0,0,0,0
IA Nicolson,2010-2010,1,1,0,0,0,0,3,0,0,0,1,0,0
R Kaia,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
